[2024-04-28 18:36:29.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 69ns
[2024-04-28 18:36:30.644] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.644] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.644] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 348ns
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 472ns
[2024-04-28 18:36:30.645] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.644] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 182ns
[2024-04-28 18:36:30.645] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 68ns
[2024-04-28 18:36:30.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 126ns
[2024-04-28 18:36:30.645] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 185ns
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 267ns
[2024-04-28 18:36:30.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 149ns
[2024-04-28 18:36:30.645] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 169ns
[2024-04-28 18:36:30.645] [server] [debug] [0.0.0.0:0] payload size 41 bytes
[2024-04-28 18:36:30.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 333ns
[2024-04-28 18:36:30.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 103ns
[2024-04-28 18:36:30.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 117ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 177ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 99ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 125ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 86ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 145ns
[2024-04-28 18:36:30.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 99ns
[2024-04-28 18:36:30.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 145ns
[2024-04-28 18:36:30.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 91ns
[2024-04-28 18:36:30.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 350ns
[2024-04-28 18:36:30.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 77ns
[2024-04-28 18:36:30.648] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 135ns
[2024-04-28 18:36:30.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 83ns
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 201ns
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 187ns
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 93ns
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 162ns
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 147ns
[2024-04-28 18:36:31.645] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 68ns
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 137ns
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 140ns
[2024-04-28 18:36:31.645] [server] [debug] [0.0.0.0:0] payload size 136 bytes
[2024-04-28 18:36:31.645] [server] [debug] [conn_handler.cpp:operator():108] "handling payload" Time Taken: 220ns
[2024-04-28 18:36:31.645] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 113ns
[2024-04-28 18:36:31.646] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 353ns
[2024-04-28 18:36:31.646] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 173ns
[2024-04-28 18:36:31.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 933ns
[2024-04-28 18:36:31.647] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 257ns
[2024-04-28 18:36:31.647] [server] [debug] [updater.hpp:operator():30] "updater reading changes" Time Taken: 971ns
[2024-04-28 18:36:31.648] [server] [debug] [updater.hpp:operator():40] "updating all connected clients" Time Taken: 179ns
